review_id,bank_id,review_text,rating,review_date,sentiment_label_vader,sentiment_score_vader,sentiment_label_distilbert,sentiment_score_distilbert,themes,primary_theme,source,created_at,bank_name,bank_code
1,2,very good,5,2025-11-25,POSITIVE,0.4927,POSITIVE,0.9999,[],Other,Google Play,2025-11-27 17:37:39.312210,Bank of Abyssinia,BOA
2,2,most of the time is not working properly,1,2025-11-25,NEUTRAL,0.0,NEGATIVE,0.9998,['Technical Issues'],Technical Issues,Google Play,2025-11-27 17:37:39.312210,Bank of Abyssinia,BOA
3,2,good service,5,2025-11-25,POSITIVE,0.4404,POSITIVE,0.9998,['Customer Support'],Customer Support,Google Play,2025-11-27 17:37:39.312210,Bank of Abyssinia,BOA
4,2,not use for me,3,2025-11-23,NEUTRAL,0.0,NEGATIVE,0.9954,[],Other,Google Play,2025-11-27 17:37:39.312210,Bank of Abyssinia,BOA
5,2,It keeps notifying me to disable developer options and quiet while I'm not enabled. always bring another type of problem with new updates.,1,2025-11-22,NEGATIVE,0.4019,NEGATIVE,0.9968,"['User Interface & Experience', 'Technical Issues']",User Interface & Experience,Google Play,2025-11-27 17:37:39.312210,Bank of Abyssinia,BOA
6,2,waw,5,2025-11-21,NEUTRAL,0.0,NEGATIVE,0.7346,[],Other,Google Play,2025-11-27 17:37:39.312210,Bank of Abyssinia,BOA
7,2,the lag is unbelievable when you need it the most this suks,1,2025-11-19,NEGATIVE,0.1531,NEGATIVE,0.9983,['Feature Requests'],Feature Requests,Google Play,2025-11-27 17:37:39.312210,Bank of Abyssinia,BOA
8,2,I cant belive I could find the worst bank app ever .yet very simple to fix the problem and the company just ignored it. no body can do business with this kind of app.,1,2025-11-18,NEGATIVE,0.8834,NEGATIVE,0.9997,['Technical Issues'],Technical Issues,Google Play,2025-11-27 17:37:39.312210,Bank of Abyssinia,BOA
9,2,it is a good app,5,2025-11-18,POSITIVE,0.4404,POSITIVE,0.9999,[],Other,Google Play,2025-11-27 17:37:39.312210,Bank of Abyssinia,BOA
10,2,it is not working at all,1,2025-11-15,NEUTRAL,0.0,NEGATIVE,0.9998,['Technical Issues'],Technical Issues,Google Play,2025-11-27 17:37:39.312210,Bank of Abyssinia,BOA
